trial_index,audio_filename,condition
1,BAABAB.wav,habituation
2,BAABAB.wav,habituation
3,BAABAB.wav,habituation
4,BAABAB.wav,habituation
5,BAABAB.wav,habituation
6,BAABAB.wav,habituation
7,BAABAB.wav,habituation
8,BAABAB.wav,habituation
9,BAABAB.wav,habituation
10,BAABAB.wav,habituation
42,BAABAA.wav,test
46,BAAAAB.wav,test
46,BAAAAB.wav,test
45,BAABAB.wav,test
45,BAABAB.wav,test
42,BAABAA.wav,test
42,BAABAA.wav,test
45,BAABAB.wav,test
45,BAABAB.wav,test
45,BAABAB.wav,test
43,BAABBB.wav,test
42,BAABAA.wav,test
42,BAABAA.wav,test
46,BAAAAB.wav,test
46,BAAAAB.wav,test
43,BAABBB.wav,test
45,BAABAB.wav,test
43,BAABBB.wav,test
45,BAABAB.wav,test
45,BAABAB.wav,test
46,BAAAAB.wav,test
45,BAABAB.wav,test
45,BAABAB.wav,test
43,BAABBB.wav,test
42,BAABAA.wav,test
43,BAABBB.wav,test
43,BAABBB.wav,test
43,BAABBB.wav,test
46,BAAAAB.wav,test
42,BAABAA.wav,test
46,BAAAAB.wav,test
42,BAABAA.wav,test
43,BAABBB.wav,test
45,BAABAB.wav,test
45,BAABAB.wav,test
46,BAAAAB.wav,test
