trial_index,audio_filename,condition
1,AAAABBBB.wav,habituation
2,AAAABBBB.wav,habituation
3,AAAABBBB.wav,habituation
4,AAAABBBB.wav,habituation
5,AAAABBBB.wav,habituation
6,AAAABBBB.wav,habituation
7,AAAABBBB.wav,habituation
8,AAAABBBB.wav,habituation
9,AAAABBBB.wav,habituation
10,AAAABBBB.wav,habituation
44,AAAABBBA.wav,test
43,AAAABBBB.wav,test
40,AAAABABB.wav,test
40,AAAABABB.wav,test
44,AAAABBBA.wav,test
43,AAAABBBB.wav,test
43,AAAABBBB.wav,test
43,AAAABBBB.wav,test
40,AAAABABB.wav,test
46,AAAABBAB.wav,test
42,AAAAABBB.wav,test
40,AAAABABB.wav,test
46,AAAABBAB.wav,test
46,AAAABBAB.wav,test
44,AAAABBBA.wav,test
43,AAAABBBB.wav,test
42,AAAAABBB.wav,test
43,AAAABBBB.wav,test
44,AAAABBBA.wav,test
43,AAAABBBB.wav,test
42,AAAAABBB.wav,test
46,AAAABBAB.wav,test
42,AAAAABBB.wav,test
43,AAAABBBB.wav,test
43,AAAABBBB.wav,test
43,AAAABBBB.wav,test
43,AAAABBBB.wav,test
42,AAAAABBB.wav,test
40,AAAABABB.wav,test
40,AAAABABB.wav,test
44,AAAABBBA.wav,test
42,AAAAABBB.wav,test
43,AAAABBBB.wav,test
44,AAAABBBA.wav,test
46,AAAABBAB.wav,test
46,AAAABBAB.wav,test
