trial_index,audio_filename,condition
1,ABABABABABABABAB.wav,habituation
2,ABABABABABABABAB.wav,habituation
3,ABABABABABABABAB.wav,habituation
4,ABABABABABABABAB.wav,habituation
5,ABABABABABABABAB.wav,habituation
6,ABABABABABABABAB.wav,habituation
7,ABABABABABABABAB.wav,habituation
8,ABABABABABABABAB.wav,habituation
9,ABABABABABABABAB.wav,habituation
10,ABABABABABABABAB.wav,habituation
46,ABABABABABAAABAB.wav,test
46,ABABABABABAAABAB.wav,test
45,ABABABABABABABBB.wav,test
44,ABABABABABABABAB.wav,test
44,ABABABABABABABAB.wav,test
42,ABABABABBBABABAB.wav,test
45,ABABABABABABABBB.wav,test
44,ABABABABABABABAB.wav,test
40,ABABABABABABAAAB.wav,test
44,ABABABABABABABAB.wav,test
45,ABABABABABABABBB.wav,test
40,ABABABABABABAAAB.wav,test
44,ABABABABABABABAB.wav,test
46,ABABABABABAAABAB.wav,test
44,ABABABABABABABAB.wav,test
40,ABABABABABABAAAB.wav,test
42,ABABABABBBABABAB.wav,test
40,ABABABABABABAAAB.wav,test
42,ABABABABBBABABAB.wav,test
44,ABABABABABABABAB.wav,test
44,ABABABABABABABAB.wav,test
44,ABABABABABABABAB.wav,test
45,ABABABABABABABBB.wav,test
40,ABABABABABABAAAB.wav,test
46,ABABABABABAAABAB.wav,test
42,ABABABABBBABABAB.wav,test
42,ABABABABBBABABAB.wav,test
45,ABABABABABABABBB.wav,test
46,ABABABABABAAABAB.wav,test
40,ABABABABABABAAAB.wav,test
44,ABABABABABABABAB.wav,test
42,ABABABABBBABABAB.wav,test
44,ABABABABABABABAB.wav,test
44,ABABABABABABABAB.wav,test
45,ABABABABABABABBB.wav,test
46,ABABABABABAAABAB.wav,test
