trial_index,audio_filename,condition
1,ABABABABABABABAB.wav,habituation
2,ABABABABABABABAB.wav,habituation
3,ABABABABABABABAB.wav,habituation
4,ABABABABABABABAB.wav,habituation
5,ABABABABABABABAB.wav,habituation
6,ABABABABABABABAB.wav,habituation
7,ABABABABABABABAB.wav,habituation
8,ABABABABABABABAB.wav,habituation
9,ABABABABABABABAB.wav,habituation
10,ABABABABABABABAB.wav,habituation
44,ABABABABABABABBB.wav,test
42,ABABABABBBABABAB.wav,test
45,ABABABABABABAAAB.wav,test
46,ABABABABABABABAB.wav,test
46,ABABABABABABABAB.wav,test
46,ABABABABABABABAB.wav,test
41,ABABABABABAAABAB.wav,test
44,ABABABABABABABBB.wav,test
42,ABABABABBBABABAB.wav,test
45,ABABABABABABAAAB.wav,test
45,ABABABABABABAAAB.wav,test
45,ABABABABABABAAAB.wav,test
46,ABABABABABABABAB.wav,test
41,ABABABABABAAABAB.wav,test
46,ABABABABABABABAB.wav,test
46,ABABABABABABABAB.wav,test
44,ABABABABABABABBB.wav,test
46,ABABABABABABABAB.wav,test
44,ABABABABABABABBB.wav,test
42,ABABABABBBABABAB.wav,test
41,ABABABABABAAABAB.wav,test
46,ABABABABABABABAB.wav,test
45,ABABABABABABAAAB.wav,test
46,ABABABABABABABAB.wav,test
44,ABABABABABABABBB.wav,test
42,ABABABABBBABABAB.wav,test
46,ABABABABABABABAB.wav,test
41,ABABABABABAAABAB.wav,test
42,ABABABABBBABABAB.wav,test
41,ABABABABABAAABAB.wav,test
41,ABABABABABAAABAB.wav,test
42,ABABABABBBABABAB.wav,test
46,ABABABABABABABAB.wav,test
44,ABABABABABABABBB.wav,test
45,ABABABABABABAAAB.wav,test
46,ABABABABABABABAB.wav,test
