trial_index,audio_filename,condition
1,AABBAABBAABB.wav,habituation
2,AABBAABBAABB.wav,habituation
3,AABBAABBAABB.wav,habituation
4,AABBAABBAABB.wav,habituation
5,AABBAABBAABB.wav,habituation
6,AABBAABBAABB.wav,habituation
7,AABBAABBAABB.wav,habituation
8,AABBAABBAABB.wav,habituation
9,AABBAABBAABB.wav,habituation
10,AABBAABBAABB.wav,habituation
45,AABBAABBABBB.wav,test
37,AABBAABAAABB.wav,test
43,AABBAABBAABB.wav,test
43,AABBAABBAABB.wav,test
46,AABBAABBAAAB.wav,test
43,AABBAABBAABB.wav,test
39,AABBAABBBABB.wav,test
43,AABBAABBAABB.wav,test
43,AABBAABBAABB.wav,test
39,AABBAABBBABB.wav,test
39,AABBAABBBABB.wav,test
37,AABBAABAAABB.wav,test
39,AABBAABBBABB.wav,test
39,AABBAABBBABB.wav,test
43,AABBAABBAABB.wav,test
43,AABBAABBAABB.wav,test
37,AABBAABAAABB.wav,test
46,AABBAABBAAAB.wav,test
37,AABBAABAAABB.wav,test
43,AABBAABBAABB.wav,test
46,AABBAABBAAAB.wav,test
46,AABBAABBAAAB.wav,test
37,AABBAABAAABB.wav,test
45,AABBAABBABBB.wav,test
45,AABBAABBABBB.wav,test
43,AABBAABBAABB.wav,test
37,AABBAABAAABB.wav,test
45,AABBAABBABBB.wav,test
39,AABBAABBBABB.wav,test
43,AABBAABBAABB.wav,test
43,AABBAABBAABB.wav,test
45,AABBAABBABBB.wav,test
43,AABBAABBAABB.wav,test
46,AABBAABBAAAB.wav,test
45,AABBAABBABBB.wav,test
46,AABBAABBAAAB.wav,test
