trial_index,audio_filename,condition
1,AABBAABBAABB.wav,habituation
2,AABBAABBAABB.wav,habituation
3,AABBAABBAABB.wav,habituation
4,AABBAABBAABB.wav,habituation
5,AABBAABBAABB.wav,habituation
6,AABBAABBAABB.wav,habituation
7,AABBAABBAABB.wav,habituation
8,AABBAABBAABB.wav,habituation
9,AABBAABBAABB.wav,habituation
10,AABBAABBAABB.wav,habituation
29,AABBAABAAABB.wav,test
41,AABBAABBBABB.wav,test
46,AABBAABBAABB.wav,test
45,AABBAABBABBB.wav,test
42,AABBAABBAAAB.wav,test
42,AABBAABBAAAB.wav,test
29,AABBAABAAABB.wav,test
45,AABBAABBABBB.wav,test
46,AABBAABBAABB.wav,test
41,AABBAABBBABB.wav,test
46,AABBAABBAABB.wav,test
46,AABBAABBAABB.wav,test
29,AABBAABAAABB.wav,test
29,AABBAABAAABB.wav,test
41,AABBAABBBABB.wav,test
29,AABBAABAAABB.wav,test
42,AABBAABBAAAB.wav,test
42,AABBAABBAAAB.wav,test
29,AABBAABAAABB.wav,test
45,AABBAABBABBB.wav,test
46,AABBAABBAABB.wav,test
42,AABBAABBAAAB.wav,test
45,AABBAABBABBB.wav,test
41,AABBAABBBABB.wav,test
46,AABBAABBAABB.wav,test
46,AABBAABBAABB.wav,test
41,AABBAABBBABB.wav,test
46,AABBAABBAABB.wav,test
45,AABBAABBABBB.wav,test
46,AABBAABBAABB.wav,test
41,AABBAABBBABB.wav,test
42,AABBAABBAAAB.wav,test
46,AABBAABBAABB.wav,test
46,AABBAABBAABB.wav,test
45,AABBAABBABBB.wav,test
46,AABBAABBAABB.wav,test
